	RyersonU	sageryerson	TetraRyerson	mathryerson	
bit	0.001856567152681522	0.0	0.0	0.0	
black	0.011139402916089133	0.0	0.0	0.0	
blackhistory	0.007426268610726088	0.0	0.0	0.0	
blacklivesmatter	0.009282835763407611	0.0	0.0	0.0	
blackstarcollection	0.0055697014580445665	0.0	0.0	0.0	
blair	0.001856567152681522	0.0	0.0	0.0	
blairscorgie	0.001856567152681522	0.0	0.0	0.0	
bldg	0.0	0.0	0.0	0.010777172045613662	
blitz	0.001856567152681522	0.0	0.0	0.0	
blocked	0.001856567152681522	0.0	0.0	0.0	
blog	0.007426268610726088	0.0	0.0	0.0	
blogto	0.001856567152681522	0.0	0.0	0.0	
blogtos	0.003713134305363044	0.0	0.0	0.0	
blood	0.001856567152681522	0.0	0.0	0.0	
bloomberg	0.001856567152681522	0.0	0.0	0.0	
bloorcourt	0.001856567152681522	0.0	0.0	0.0	
bloorstculture	0.009282835763407611	0.0	0.0	0.0	
blown	0.001856567152681522	0.0	0.0	0.0	
blue	0.014852537221452177	0.0	0.0	0.0	
bluejays	0.003713134305363044	0.0	0.0	0.0	
bluemix	0.003713134305363044	0.0	0.0	0.0	
blurred	0.007426268610726088	0.0	0.0	0.0	
blush	0.001856567152681522	0.0	0.0	0.0	
bmo	0.007426268610726088	0.0	0.0	0.0	
board	0.04827074596971958	0.0	0.0	0.0	
boardroom	0.001856567152681522	0.0	0.0	0.0	
bob	0.003713134305363044	0.0	0.0	0.0	
body	0.0055697014580445665	0.0	0.0	0.0	
bof	0.0055697014580445665	0.0	0.0	0.0	
bold	0.003713134305363044	0.0	0.0	0.0	
bolder	0.001856567152681522	0.0	0.0	0.0	
bombay	0.001856567152681522	0.0	0.0	0.0	
bonato	0.0	0.0	0.0	0.0862173763649093	
bonatotitle	0.0	0.0	0.0	0.010777172045613662	
boneleslies	0.001856567152681522	0.0	0.0	0.0	
bonnie	0.001856567152681522	0.0	0.0	0.0	
book	0.0046414178817038056	0.0	0.0	0.005388586022806831	
books	0.007426268610726088	0.0	0.0	0.0	
boosts	0.003713134305363044	0.0	0.0	0.0	
booth	0.022278805832178266	0.0	0.0	0.0	
bosses	0.001856567152681522	0.0	0.0	0.0	
botanical	0.001856567152681522	0.0	0.0	0.0	
bound	0.001856567152681522	0.0	0.0	0.0	
box	0.003713134305363044	0.0	0.0	0.0	
brad	0.001856567152681522	0.0	0.0	0.0	
