	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
baywatching	0.0	0.0	0.0045369390578912	0.0	
bayyybeee	0.0	0.0	0.0045369390578912	0.0	
bday	0.0	0.0	0.0045369390578912	0.0	
beach	0.0	0.0	0.0181477562315648	0.0	
beak	0.0	0.0	0.013610817173673599	0.0	
beansfordinner	0.0	0.0	0.0045369390578912	0.0	
bear	0.0	0.0	0.04990632963680319	0.0	
beard	0.0	0.0	0.0045369390578912	0.0	
bearhunting	0.0	0.0	0.0045369390578912	0.0	
bears	0.0	0.0	0.0181477562315648	0.0	
beartomg	0.0	0.0	0.0045369390578912	0.0	
beast	0.0	0.0	0.0045369390578912	0.0	
beat	0.0	0.0	0.0090738781157824	0.0	
beating	0.0	0.005868860272391637	0.0022684695289456	0.0	
beatle	0.0	0.0	0.0045369390578912	0.0	
beatles	0.0	0.0	0.0045369390578912	0.0	
beaufiful	0.0	0.0	0.0045369390578912	0.0	
beauties	0.0	0.0	0.0090738781157824	0.0	
beautiful	0.03981693508395617	0.0	0.10888653738938879	0.0	
beautifulbotox	0.0	0.0	0.0045369390578912	0.0	
beautifuljapan	0.0	0.0	0.0090738781157824	0.0	
beauty	0.0	0.0	0.027221634347347198	0.0	
bed	0.0	0.04988531231532892	0.029490103876292795	0.0	
bedfellows	0.0	0.0	0.0045369390578912	0.0	
bedroom	0.0	0.0	0.0045369390578912	0.0	
bedtime	0.0	0.005868860272391637	0.0	0.0	
bee	0.0	0.0	0.0045369390578912	0.0	
beeaatch	0.0	0.0	0.0045369390578912	0.0	
beeach	0.0	0.0	0.0045369390578912	0.0	
beer	0.0	0.014672150680979093	0.0045369390578912	0.0	
beerbre	0.0	0.005868860272391637	0.0	0.0	
beerbrewin	0.0	0.029344301361958185	0.0	0.0	
bees	0.0	0.0	0.0045369390578912	0.0	
begged	0.0	0.0	0.0045369390578912	0.0	
begging	0.0	0.005868860272391637	0.0	0.0	
behave	0.0	0.0	0.013610817173673599	0.0	
behavior	0.0	0.0029344301361958185	0.0045369390578912	0.0	
behold	0.0	0.005868860272391637	0.0	0.0	
beholder	0.0	0.0	0.0045369390578912	0.0	
beholdermaybe	0.0	0.0	0.0045369390578912	0.0	
beings	0.0	0.0	0.0045369390578912	0.0	
bellameowcat	0.0	0.0	0.0045369390578912	0.0	
bellies	0.0	0.005868860272391637	0.0	0.0	
bellisima	0.0	0.0	0.0045369390578912	0.0	
belly	0.0	0.0469508821791331	0.0	0.0	
belong	0.0	0.0	0.0045369390578912	0.0	
belongs	0.0	0.0	0.0045369390578912	0.0	
belowfelixvermist	0.0	0.0	0.0045369390578912	0.0	
bemockedcypher	0.0	0.0	0.0045369390578912	0.0	
ben	0.0	0.0	0.0045369390578912	0.0	
benbrausen	0.0	0.005868860272391637	0.0	0.0	
bender	0.0	0.005868860272391637	0.0	0.0	
beneath	0.0	0.0	0.0045369390578912	0.0	
benefits	0.0	0.0	0.0045369390578912	0.0	
bentley	0.0	0.0	0.0045369390578912	0.0	
bentleybeans	0.0	0.005868860272391637	0.0	0.0	
best	0.0	0.0	0.0	0.0	
bestcatsrulenews	0.03981693508395617	0.0	0.0	0.0	
bestevercat	0.0	0.0	0.0090738781157824	0.0	
bestevercatim	0.0	0.0	0.0045369390578912	0.0	
bestsellerwater	0.03981693508395617	0.0	0.0	0.0	
bet	0.0	0.0	0.040832451521020795	0.0	
betcha	0.0	0.0	0.0045369390578912	0.0	
better	0.008262760583096614	0.009743188364281515	0.024478997932579797	0.0	
betting	0.0	0.0	0.0045369390578912	0.0	
beverly	0.0	0.0	0.013610817173673599	0.0	
beverlyhills	0.0	0.0	0.0045369390578912	0.0	
beware	0.0	0.005868860272391637	0.0	0.0	
bfff	0.0	0.0	0.013610817173673599	0.0	
bfurryff	0.0	0.0	0.0090738781157824	0.0	
bichonscot	0.0	0.0	0.0090738781157824	0.0	
big	0.008262760583096614	0.010961086909816705	0.04989949578564343	0.0	
bigbeautiful	0.03981693508395617	0.0	0.0	0.0	
bigboned	0.0	0.0	0.0090738781157824	0.0	
bigger	0.0	0.0	0.027221634347347198	0.0	
biggest	0.0	0.0	0.0045369390578912	0.0	
bigkitties	0.03981693508395617	0.0	0.0	0.0	
bigsleep	0.0	0.0	0.0045369390578912	0.0	
biiaatch	0.0	0.0	0.0045369390578912	0.0	
bike	0.0	0.005868860272391637	0.0	0.0	
bikini	0.0	0.0	0.0090738781157824	0.0	
bikinikitten	0.0	0.0	0.0045369390578912	0.0	
bill	0.0	0.0	0.0045369390578912	0.0	
billflew	0.0	0.0	0.0045369390578912	0.0	
bills	0.0	0.0	0.022684695289456	0.0	
billy	0.0	0.0	0.0045369390578912	0.0	
bio	0.0	0.0	0.0045369390578912	0.0	
bird	0.0	0.0029344301361958185	0.0362955124631296	0.0	
birddroppings	0.0	0.0	0.0045369390578912	0.0	
birdfashion	0.0	0.0	0.0045369390578912	0.0	
birds	0.0	0.005868860272391637	0.0158792867026192	0.0	
birdy	0.0	0.0	0.0045369390578912	0.0	
birth	0.0	0.0	0.0090738781157824	0.0	
birthday	0.008262760583096614	0.0024357970910703786	0.012239498966289898	0.0	
biscuit	0.0	0.0	0.0181477562315648	0.0	
bit	0.0	0.03814759177054564	0.0090738781157824	0.0	
bitch	0.0	0.0	0.013610817173673599	0.0	
bitches	0.0	0.0	0.0045369390578912	0.0	
bitchi	0.0	0.0	0.0045369390578912	0.0	
bite	0.0	0.0	0.027221634347347198	0.0	
bites	0.0	0.0	0.0045369390578912	0.0	
bits	0.0	0.0	0.0045369390578912	0.0	
bitter	0.0	0.0029344301361958185	0.0022684695289456	0.0	
black	0.0	0.02347544108956655	0.020416225760510397	0.0	
blackandwhite	0.03981693508395617	0.0	0.0	0.0	
blackmail	0.0	0.0	0.0090738781157824	0.0	
blahnik	0.0	0.0	0.0045369390578912	0.0	
blame	0.0	0.0	0.0045369390578912	0.0	
blancathebold	0.0	0.005868860272391637	0.0	0.0	
blanket	0.0	0.029344301361958185	0.0045369390578912	0.0	
blanketmov	0.0	0.0	0.0090738781157824	0.0	
blankets	0.0	0.02347544108956655	0.0	0.0	
blaze	0.0	0.0	0.0045369390578912	0.0	
blazing	0.0	0.0	0.0045369390578912	0.0	
blend	0.0	0.0	0.0090738781157824	0.0	
bless	0.0	0.0	0.013610817173673599	0.0	
blew	0.0	0.0	0.0045369390578912	0.0	
blind	0.019908467541978087	0.0	0.011342347644728	0.0	
blizzard	0.0	0.0	0.0090738781157824	0.0	
blocks	0.0	0.0	0.0090738781157824	0.0	
blog	0.0	0.0	0.013610817173673599	0.0	
blogs	0.019908467541978087	0.0	0.0022684695289456	0.0	
blood	0.03981693508395617	0.0	0.0	0.0	
bloodpeace	0.0	0.0	0.0045369390578912	0.0	
blooming	0.0	0.0	0.0045369390578912	0.0	
blow	0.0	0.0	0.0090738781157824	0.0	
blowdry	0.0	0.0	0.0090738781157824	0.0	
blowing	0.0	0.0	0.0090738781157824	0.0	
blown	0.0	0.005868860272391637	0.0	0.0	
blts	0.0	0.0	0.0045369390578912	0.0	
blue	0.0	0.0	0.027221634347347198	0.0	
blueberries	0.0	0.0	0.0045369390578912	0.0	
bluebirds	0.0	0.0	0.0045369390578912	0.0	
bluesmonday	0.0	0.0	0.0045369390578912	0.0	
blushing	0.0	0.0	0.0045369390578912	0.0	
bluto	0.0	0.0	0.0045369390578912	0.0	
