	TorontoStar	only1nabil	AcadieSon	AndreasKalo	
advocat	0.0	0.0	0.007361480551895291	0.0	
advocate	0.0010038570401371013	0.0	0.0	0.007049398668543209	
advocates	0.0025096426003427532	0.0	0.007361480551895291	0.0	
adyashanti	0.0	0.0	0.0	0.004699599112362139	
ae	5.019285200685506E-4	0.0	0.0	0.0023497995561810696	
aegean	0.0020077140802742025	0.0	0.0	0.0	
aeonmag	0.0	0.0	0.014722961103790582	0.0	
aerial	2.0831915778598217E-4	0.0021967554436167895	0.001527645239624232	0.0	
aerosol	0.0	0.0	0.0	0.004699599112362139	
aerospace	0.0010038570401371013	0.0	0.0	0.0	
affair	0.0030115711204113035	0.0	0.0	0.0	
affairs	0.0	0.0026464541727359617	0.0	0.028197594674172835	
affect	0.0	0.0026464541727359617	0.0	0.0023497995561810696	
affiliates	0.0	0.0	0.007361480551895291	0.0	
affiliating	0.0	0.0052929083454719235	0.0	0.0	
affleck	0.0	0.0052929083454719235	0.0	0.0	
afflicting	0.0	0.0	0.007361480551895291	0.0	
affliction	0.0	0.0	0.007361480551895291	0.0	
afford	2.0831915778598217E-4	0.0010983777218083947	0.0045829357188726955	0.0	
affordable	0.0	0.0	0.0	0.0	
affront	0.0	0.0	0.007361480551895291	0.0	
afghan	0.0030115711204113035	0.0	0.0	0.0	
afghanistan	0.001041595788929911	0.0021967554436167895	0.001527645239624232	0.0	
afmugdt	0.0010038570401371013	0.0	0.0	0.0	
afraid	0.0	0.0021967554436167895	0.003055290479248464	0.00487627465801964	
africa	0.0	0.0	0.0	0.0	
african	6.249574733579465E-4	0.0	0.001527645239624232	9.75254931603928E-4	
africans	0.0	0.0	0.0	0.004699599112362139	
afro	0.0	0.0	0.0	0.004699599112362139	
afrofest	5.019285200685506E-4	0.0	0.0	0.0023497995561810696	
aftermath	0.0	0.0	0.014722961103790582	0.0	
afternoon	2.0831915778598217E-4	0.0021967554436167895	0.0	0.001950509863207856	
afudtajb	0.0010038570401371013	0.0	0.0	0.0	
ag	0.0010038570401371013	0.0	0.0	0.0	
aga	0.0	0.0052929083454719235	0.0	0.0	
agai	0.0010038570401371013	0.0	0.0	0.0	
agame	0.0	0.0	0.0	0.004699599112362139	
agco	0.0010038570401371013	0.0	0.0	0.0	
age	0.0	0.0	0.0	0.0	
aged	0.0	0.0052929083454719235	0.0	0.004699599112362139	
ageism	0.0	0.0	0.022084441655685873	0.0	
ageist	0.0	0.0	0.007361480551895291	0.0	
agencies	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	
agency	0.0016665532622878573	0.0	0.003055290479248464	9.75254931603928E-4	
agenda	0.0	0.0	0.01840370137973823	0.0023497995561810696	
agendas	0.0	0.0	0.007361480551895291	0.0	
agent	0.0010038570401371013	0.0	0.0	0.011748997780905348	
agents	4.1663831557196433E-4	0.0010983777218083947	0.001527645239624232	0.0	
ages	0.0	0.0	0.0	0.0	
aggravated	0.0	0.0	0.007361480551895291	0.0	
aggravation	0.0	0.0052929083454719235	0.0	0.0	
aggression	5.019285200685506E-4	0.0	0.0036807402759476454	0.0	
aggressive	0.0	0.0	0.0	0.004699599112362139	
aging	0.0	0.0052929083454719235	0.0	0.0	
agjy	0.0010038570401371013	0.0	0.0	0.0	
agm	0.0	0.0	0.0	0.018798396449448557	
ago	0.0	0.0	0.0	0.0	
agordonstar	0.0020077140802742025	0.0	0.0	0.0	
agotoronto	0.0	0.0	0.0	0.009399198224724278	
agqo	0.0010038570401371013	0.0	0.0	0.0	
agree	0.0	0.0	0.0	0.0	
agreed	0.0	0.0	0.0	0.018798396449448557	
agreedyou	0.0	0.0052929083454719235	0.0	0.0	
agreeing	0.0	0.0	0.007361480551895291	0.0	
agreement	6.249574733579465E-4	0.0010983777218083947	0.003055290479248464	0.0	
agreements	0.0	0.0	0.0	0.018798396449448557	
agrees	6.249574733579465E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
ahby	0.0010038570401371013	0.0	0.0	0.0	
ahead	0.012046284481645214	0.01587872503641577	0.0	0.0	
ahhh	0.0010038570401371013	0.0	0.0	0.0	
ahi	0.0	0.0	0.0	0.018798396449448557	
ahimusic	0.0	0.0	0.0	0.004699599112362139	
ahx	0.0010038570401371013	0.0	0.0	0.0	
ahznv	0.0010038570401371013	0.0	0.0	0.0	
ai	8.332766311439287E-4	0.0010983777218083947	0.001527645239624232	0.0	
aibuymez	0.0010038570401371013	0.0	0.0	0.0	
aid	0.0	0.0	0.0	0.0	
aide	0.0020077140802742025	0.0	0.0	0.0	
aides	0.0010038570401371013	0.0	0.0	0.0	
aids	0.0	0.0	0.007361480551895291	0.0	
ailing	0.0010038570401371013	0.0	0.0	0.0	
aim	0.0020077140802742025	0.0	0.0	0.0	
aimeemann	0.0	0.0	0.0	0.004699599112362139	
aims	0.0016665532622878573	0.0010983777218083947	0.0	0.0029257647948117836	
ain	0.0	0.0	0.0	0.004699599112362139	
aint	0.0	0.0	0.014722961103790582	0.004699599112362139	
aiprpy	0.0010038570401371013	0.0	0.0	0.0	
air	0.0	0.0	0.0	0.0	
airbnb	0.004015428160548405	0.0	0.0	0.0	
aircraft	0.0020077140802742025	0.0	0.0	0.0	
aird	0.0010038570401371013	0.0	0.0	0.0	
aired	0.0010038570401371013	0.0	0.0	0.0	
airing	0.0010038570401371013	0.0026464541727359617	0.0	0.0	
airlift	0.0	0.0	0.0	0.004699599112362139	
airline	2.0831915778598217E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
airliner	0.0010038570401371013	0.0	0.0	0.0	
airlines	2.0831915778598217E-4	0.0021967554436167895	0.0	9.75254931603928E-4	
airmen	0.0	0.0	0.007361480551895291	0.0	
airplane	0.0	0.0	0.007361480551895291	0.0	
airplaneboys	0.0	0.0	0.0	0.004699599112362139	
airplanes	0.0	0.010585816690943847	0.0	0.0	
airpocalypse	0.0	0.0	0.007361480551895291	0.0	
airport	0.0	0.0	0.0	0.0	
airs	0.0010038570401371013	0.0	0.0	0.0	
airsecurity	0.0010038570401371013	0.0	0.0	0.0	
airstrikes	0.0025096426003427532	0.0026464541727359617	0.0	0.0	
airways	0.0	0.0	0.011042220827842937	0.0023497995561810696	
aivrlnyp	0.0010038570401371013	0.0	0.0	0.0	
ajenews	0.0	0.0	0.029445922207581163	0.0	
ajenglish	0.0	0.0	0.022084441655685873	0.0	
ajr	0.0010038570401371013	0.0	0.0	0.0	
ajusv	0.0010038570401371013	0.0	0.0	0.0	
ajvlbia	0.0010038570401371013	0.0	0.0	0.0	
ajzvfe	0.0010038570401371013	0.0	0.0	0.0	
ak	0.0010038570401371013	0.0	0.0036807402759476454	0.0	
aka	2.0831915778598217E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
akdn	0.0	0.0052929083454719235	0.0	0.0	
akeeansaltfish	0.0	0.0052929083454719235	0.0	0.0	
akin	0.0	0.0	0.0	0.004699599112362139	
akj	0.0010038570401371013	0.0	0.0	0.0	
akp	0.0010038570401371013	0.0	0.0	0.0	
aktaylor	0.0	0.0	0.0	0.004699599112362139	
al	8.332766311439287E-4	0.0	0.001527645239624232	9.75254931603928E-4	
ala	0.0	0.0	0.0	0.004699599112362139	
alabama	0.0030115711204113035	0.0	0.0	0.0	
alan	0.0020077140802742025	0.0026464541727359617	0.0	0.0	
alancross	0.0	0.0	0.0	0.04229639201125925	
alanhahn	0.0	0.0052929083454719235	0.0	0.0	
alarm	0.0010038570401371013	0.0	0.0	0.0	
alarming	0.0	0.0	0.007361480551895291	0.0	
alaska	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	
albert	0.0020077140802742025	0.0	0.0	0.0	
alberta	0.0	0.0	0.0	0.0	
albertans	0.0010038570401371013	0.0	0.0	0.0	
album	0.0	0.0	0.0	0.0	
albums	0.0	0.0026464541727359617	0.0	0.007049398668543209	
albuquerque	0.0	0.0	0.007361480551895291	0.0	
alcohol	8.332766311439287E-4	0.0021967554436167895	0.001527645239624232	0.0	
aldridge	0.0	0.010585816690943847	0.0	0.0	
aldrin	0.0010038570401371013	0.0	0.0	0.0	
aleppo	0.0010038570401371013	0.0	0.0036807402759476454	0.0	
alert	0.0	0.0026464541727359617	0.007361480551895291	0.0	
alerts	0.0	0.010585816690943847	0.0	0.0	
alessiacara	0.0	0.0	0.0	0.004699599112362139	
alex	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	
alexander	0.0	0.0052929083454719235	0.0	0.0	
alexboutilier	0.0010038570401371013	0.0	0.0	0.0	
alexboutilierpictwittercomxqswm	0.0010038570401371013	0.0	0.0	0.0	
alexslee	0.0	0.0	0.0	0.004699599112362139	
alexwwesker	0.0	0.0	0.1545910915898011	0.0	
alexyums	0.0	0.010585816690943847	0.0	0.0	
alfalfa	0.0	0.0	0.014722961103790582	0.0	
alfred	0.0010038570401371013	0.0	0.0	0.0	
algae	0.0	0.0	0.007361480551895291	0.0	
algerian	0.0	0.0052929083454719235	0.0	0.0	
algordart	0.0	0.0	0.0	0.009399198224724278	
algorithm	0.0	0.0052929083454719235	0.0	0.0	
algorithmic	0.0	0.0052929083454719235	0.0	0.0	
algorithms	0.0	0.0	0.0	0.004699599112362139	
alhoula	0.0	0.0052929083454719235	0.0	0.0	
ali	0.00803085632109681	0.0	0.0	0.0	
alibaba	0.0	0.01587872503641577	0.0	0.0	
alice	0.0	0.0	0.007361480551895291	0.0	
alicia	0.0010038570401371013	0.0026464541727359617	0.0	0.0	
alien	0.0010038570401371013	0.0	0.0	0.0	
alienate	0.0	0.0	0.007361480551895291	0.0	
alienating	0.0010038570401371013	0.0	0.0	0.0	
alignment	0.0	0.0	0.0	0.004699599112362139	
alike	0.0	0.0	0.007361480551895291	0.0	
alioppenlaender	0.0010038570401371013	0.0	0.0	0.0	
aliso	0.0	0.0	0.007361480551895291	0.0	
alive	6.249574733579465E-4	0.003295133165425184	0.003055290479248464	0.0	
aliyajasmine	0.0	0.0052929083454719235	0.0	0.0	
aliyyahalidina	0.0	0.021171633381887694	0.0	0.0	
alkarim	0.0	0.0052929083454719235	0.0	0.0	
allah	0.0020077140802742025	0.0	0.0	0.0	
allan	5.019285200685506E-4	0.0	0.0	0.0023497995561810696	
allbtc	0.0	0.0052929083454719235	0.0	0.0	
allcello	0.0	0.0052929083454719235	0.0	0.0	
allday	0.0	0.0	0.0	0.004699599112362139	
allegations	8.332766311439287E-4	0.0010983777218083947	0.0	0.003901019726415712	
alleged	0.0014582341045018751	0.0021967554436167895	0.0	0.001950509863207856	
allegedly	0.001041595788929911	0.0010983777218083947	0.0	9.75254931603928E-4	
allegiant	0.0020077140802742025	0.0	0.0	0.0	
alleging	0.0010038570401371013	0.0	0.0	0.0	
allegory	0.0	0.0	0.0	0.004699599112362139	
allen	0.0	0.010585816690943847	0.0	0.0	
allens	0.0	0.0052929083454719235	0.0	0.0	
allergies	0.0	0.0	0.0	0.004699599112362139	
allergy	0.0	0.0052929083454719235	0.0	0.0	
allergycausing	0.0010038570401371013	0.0	0.0	0.0	
allfemale	0.0010038570401371013	0.0	0.0	0.0	
allgirl	0.0	0.0	0.0	0.004699599112362139	
allgrownup	0.0	0.0052929083454719235	0.0	0.0	
allison	0.0	0.0026464541727359617	0.0	0.0023497995561810696	
allocates	0.0020077140802742025	0.0	0.0	0.0	
allow	4.1663831557196433E-4	0.0	0.001527645239624232	9.75254931603928E-4	
allowed	6.249574733579465E-4	0.0	0.003055290479248464	0.001950509863207856	
allowing	0.0020077140802742025	0.0	0.0036807402759476454	0.0	
allows	0.0	0.0010983777218083947	0.001527645239624232	9.75254931603928E-4	
allsongs	0.0	0.0	0.0	0.004699599112362139	
allstar	2.0831915778598217E-4	0.005491888609041973	0.0	0.001950509863207856	
allstargame	0.0	0.0	0.0	0.004699599112362139	
allstarsnub	0.0	0.0052929083454719235	0.0	0.0	
allstarweekend	0.0	0.010585816690943847	0.0	0.0	
allthetime	0.0	0.0	0.0	0.004699599112362139	
alltime	2.0831915778598217E-4	0.0010983777218083947	0.0	9.75254931603928E-4	
ally	0.0	0.0	0.007361480551895291	0.0	
allymaxbruce	0.0	0.0	0.007361480551895291	0.0	
allyoucaneat	0.0	0.0	0.0	0.004699599112362139	
almond	0.0	0.0052929083454719235	0.0	0.0	
alo	0.0010038570401371013	0.0	0.0	0.0	
aloe	0.0	0.0052929083454719235	0.0	0.0	
alongside	0.0	0.0052929083454719235	0.0	0.0	
alot	0.0	0.010585816690943847	0.0	0.0	
aloud	0.0	0.0	0.0	0.004699599112362139	
alpacino	0.0	0.0	0.0	0.004699599112362139	
alphabet	0.0	0.0052929083454719235	0.0	0.0	
alphanumeric	0.0	0.0	0.007361480551895291	0.0	
alpine	0.0020077140802742025	0.0	0.0	0.0	
alps	0.004015428160548405	0.0	0.0	0.0	
alright	0.0	0.0	0.0036807402759476454	0.007049398668543209	
als	5.019285200685506E-4	0.0026464541727359617	0.0	0.0	
alshabab	0.0010038570401371013	0.0	0.0	0.0	
alshishani	0.0010038570401371013	0.0	0.0	0.0	
alsoran	0.0010038570401371013	0.0	0.0	0.0	
altered	0.0	0.0	0.014722961103790582	0.0	
alternate	0.0	0.0	0.007361480551895291	0.0	
alternative	2.0831915778598217E-4	0.0	0.0045829357188726955	9.75254931603928E-4	
alternatives	0.0	0.0	0.0	0.004699599112362139	
alternet	0.0	0.0	0.029445922207581163	0.0	
alters	0.0	0.0	0.007361480551895291	0.0	
aluminum	0.0	0.0	0.022084441655685873	0.0	
alumniutm	0.0	0.0	0.0	0.004699599112362139	
alvin	0.0	0.0	0.0	0.004699599112362139	
alysanmatipictwittercomoyunry	0.0010038570401371013	0.0	0.0	0.0	
alyshadsouza	0.0	0.0	0.0	0.004699599112362139	
alz	0.0010038570401371013	0.0	0.0	0.0	
alzheimer	0.0010038570401371013	0.0	0.0	0.0	
amandamartinezm	0.0	0.0	0.0	0.009399198224724278	
amateur	0.0	0.0052929083454719235	0.0	0.0	
amateurs	0.0	0.0052929083454719235	0.0	0.0	
amazing	0.0	0.0	0.0	0.0	
amazingly	0.0	0.010585816690943847	0.0	0.0	
amazon	2.0831915778598217E-4	0.0010983777218083947	0.0	0.003901019726415712	
amazonprimeair	0.0	0.0052929083454719235	0.0	0.0	
ambassador	0.0010038570401371013	0.0026464541727359617	0.0	0.0	
amberalert	0.004015428160548405	0.0	0.0	0.0	
ambient	0.0	0.0	0.0	0.004699599112362139	
ambition	0.0	0.0026464541727359617	0.0	0.0023497995561810696	
ambitious	0.0	0.0052929083454719235	0.0	0.0	
ambushstyle	0.0010038570401371013	0.0	0.0	0.0	
